"df","AICc","deltaAICc","loglike","k","model"
4,3918.53,484.064,-1955.209,366,0
7,3676.643,242.177,-1831.165,366,1
8,3674.249,239.783,-1828.923,366,6
9,3672.495,238.029,-1826.995,366,4
10,3671.212,236.746,-1825.296,366,7
10,3668.352,233.886,-1823.866,366,2
11,3667.254,232.788,-1822.254,366,12
12,3665.156,230.69,-1820.136,366,9
13,3663.863,229.397,-1818.414,366,17
8,3638.592,204.126,-1811.094,366,5
10,3635.998,201.532,-1807.689,366,8
9,3635.715,201.249,-1808.605,366,14
11,3633.535,199.069,-1805.395,366,23
11,3623.481,189.015,-1800.368,366,13
12,3622.267,187.801,-1798.691,366,20
13,3621.43,186.964,-1797.198,366,19
14,3620.146,185.68,-1795.475,366,27
12,3448.73,14.264,-1711.923,366,3
13,3447.56,13.094,-1172.125,366,15
13,3447.312,12.847,-1710.139,366,16
14,3446.29,11.824,-1708.547,366,10
15,3445.258,10.792,-1706.943,366,24
15,3444.848,10.382,-1706.738,366,22
16,3443.773,9.307,-1705.107,366,28
15,3441.366,6.9,-1704.997,366,11
16,3440.209,5.743,-1703.325,366,25
17,3439.3,4.834,-1701.771,366,18
18,3438.181,3.715,-1700.105,366,29
16,3438.115,3.649,-1702.278,366,21
17,3436.777,2.311,-1700.509,366,30
18,3435.769,1.303,-1698.899,366,26
19,3434.466,0,-1697.135,366,31
