response_id,experiment_id,study_id,origin,org_level,flux_treatment,flux_pattern,temp_ini,mean_temp_constant,min_temp,max_temp,flux_range,period_flux,resp_def,resp_units,constant_resp,flux_resp,constant_variance,flux_variance,constant_samp,flux_samp,resp_quality,variance_type,genus,species,larger_group,exp_age,size,add_covariate,add_covariate_value,extra_covariate,extra_value,add_info,time_point,time_units,same_mean..y.n.,stressful,environment,...39,...40,SD_constant,SD_variable,yi,vi,metric
1,1,du2009,figure 3,0,1,1,NA,28,25,31,6,24,body mass,g,5.628507795,5.248997773,0.128285078,0.160356347,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.6284659654262799,0.06421392720258272,-0.844779978519733,0.08894884230041973,size
1,1,du2009,figure 3,0,1,1,NA,28,22,34,12,24,body mass,g,5.628507795,5.323830735,0.128285078,0.277951002,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.6284659654262799,0.14653871064622107,-0.6633313823057098,0.08615654955188712,size
1,1,du2009,figure 3,0,1,1,NA,28,25,31,6,24,body mass,g,5.628507795,5.248997773,0.098886414,0.098886414,14,9,1,0,Mauremys,reevesii,1,0,2,sex,female,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.3699990813946861,0.031096029669477408,-1.2537117041757861,0.21670909639158153,size
1,1,du2009,figure 3,0,1,1,NA,28,22,34,12,24,body mass,g,5.628507795,5.259688196,0.098886414,0.096213808,14,3,1,0,Mauremys,reevesii,1,0,2,sex,female,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.3699990813946861,0.029843936384966345,-1.0156398811575467,0.4351008567677199,size
2,1,du2009,figure 3,0,1,1,NA,28,25,31,6,24,carapace height,mm,28.11333333,27.26,0.24,0.306666667,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,1.1757550765359253,0.16982431036321255,-1.0099043815084672,0.09207387952166667,size
2,1,du2009,figure 3,0,1,1,NA,28,22,34,12,24,carapace height,mm,28.11333333,27.36666667,0.24,0.526666667,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,1.1757550765359253,0.38221149892043726,-0.8477162179923571,0.08899955224061835,size
2,1,du2009,figure 3,0,1,1,NA,28,25,31,6,24,carapace height,mm,28.10888889,27.70444444,0.186666667,0.184444444,14,9,1,0,Mauremys,reevesii,1,0,2,sex,female,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.6984427134450215,0.0792133474409597,-0.7065337458507778,0.19339163762720277,size
2,1,du2009,figure 3,0,1,1,NA,28,22,34,12,24,carapace height,mm,28.10888889,27.84666667,0.186666667,0.177777778,14,3,1,0,Mauremys,reevesii,1,0,2,sex,female,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.6984427134450215,0.07495769282601837,-0.38238240290137526,0.40906238423392327,size
3,1,du2009,figure 3,0,1,1,NA,28,25,31,6,24,carapace width,mm,22.70646739,21.53460404,0.29461956500000003,0.378348214,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,1.4433352049814836,0.23272204917162537,-1.1268141381322736,0.09462289219620522,size
3,1,du2009,figure 3,0,1,1,NA,28,22,34,12,24,carapace width,mm,22.70646739,21.98325311,0.29461956500000003,0.649553571,24,25,1,0,Mauremys,reevesii,1,0,2,sex,male,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,1.4433352049814836,0.5235069625002983,-0.6608787387910395,0.08612340857876906,size
3,1,du2009,figure 3,0,1,1,NA,28,25,31,6,24,carapace width,mm,22.63950311,21.78906832,0.220958851,0.231026786,14,9,1,0,Mauremys,reevesii,1,0,2,sex,female,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.8267523170172327,0.11104359270339575,-1.253098210440932,0.21667566351816658,size
3,1,du2009,figure 3,0,1,1,NA,28,22,34,12,24,carapace width,mm,22.63950311,22.21093168,0.220958851,0.234375,14,3,1,0,Mauremys,reevesii,1,0,2,sex,female,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,0.8267523170172327,0.11346630897092042,-0.5276708366670259,0.41295121393451883,size
4,2,du2009,figure 4,0,1,1,NA,28,25,31,6,24,body mass,g,270.773639,309.8853868,15.04297994,21.06017192,23,24,1,0,Mauremys,reevesii,1,1,2,sex,female,NA,NA,NA,455.8352983,days since hatching,y,n,aquatic,NA,NA,72.14359740081288,96.64799930468979,0.44951298529500644,0.0872945224718577,size
4,2,du2009,figure 4,0,1,1,NA,28,22,34,12,24,body mass,g,270.773639,300.8595989,15.04297994,16.04584527,23,24,1,0,Mauremys,reevesii,1,1,2,sex,female,NA,NA,NA,455.8352983,days since hatching,y,n,aquatic,NA,NA,72.14359740081288,64.27526856870053,0.43351733347319826,0.08714426028539903,size
4,2,du2009,figure 4,0,1,1,NA,28,25,31,6,24,body mass,g,129.3696275,108.3094556,25.07163324,23.56733524,14,9,1,0,Mauremys,reevesii,1,1,2,sex,male,NA,NA,NA,455.2357123,days since hatching,y,n,aquatic,NA,NA,93.80946171093309,114.41045674939761,-0.19870493997842922,0.18339802282602669,size
4,2,du2009,figure 4,0,1,1,NA,28,22,34,12,24,body mass,g,129.3696275,108.3094556,25.07163324,24.57020057,14,3,1,0,Mauremys,reevesii,1,1,2,sex,male,NA,NA,NA,455.2357123,days since hatching,y,n,aquatic,NA,NA,93.80946171093309,121.7903987973043,-0.20393537205880838,0.4059851293494567,size
1,1,garcaruiz2011,table 1,0,1,1,24,15,12,18.5,6.5,24,developmental time,days,29.48,29.6,0.07,0.32,101,113,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0.7034912934784624,0.18101933598375616,0.2387895720471272,0.018883772994307744,development
1,1,garcaruiz2011,table 1,0,1,1,24,18,12,24.5,12.5,24,developmental time,days,17.52,16.04,0.05,0.04,114,155,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0.5338539126015656,0.008,-4.248799780438658,0.04877800290298347,development
1,1,garcaruiz2011,table 1,0,1,1,24,21,14.5,27.5,13,24,developmental time,days,10.3,11.48,0.07,0.08,107,148,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0.7240856302952021,0.02262741699796952,2.508503406256317,0.02844096161829884,development
1,1,garcaruiz2011,table 1,0,1,1,24,24,17,30,13,24,developmental time,days,8.02,10.61,0.02,0.04,115,184,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0.21447610589527216,0.008,19.420617652088197,0.6448334280745813,development
1,1,garcaruiz2011,table 1,0,1,1,24,27,17.5,30.5,13,24,developmental time,days,7,7.56,0,0.04,77,186,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0,0.008,82.9051023855589,13.085389976008406,development
1,1,garcaruiz2011,table 1,0,1,1,24,30,23.5,36.5,13,24,developmental time,days,6.95,7.32,0.03,0.07,106,150,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0.30886890422961,0.018520259177452137,1.8529296457478444,0.022806387274745796,development
1,1,garcaruiz2011,table 1,0,1,1,24,32,26.5,36.5,10,24,developmental time,days,6.03,7.25,0.09,0.09,68,96,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,0.7421590126111789,0.027,2.5418909150821762,0.0448213582396606,development
1,1,garcaruiz2011,table 1,0,1,1,24,34,30.5,36.5,6,24,developmental time,days,6.41,7.31,0.09,0.15,144,128,0,0,Xylotrechus,arvicola,1,1,1,NA,NA,NA,NA,NA,NA,NA,y,NA,terrestrial,NA,NA,1.08,0.05809475019311125,1.1404229655360953,0.0171476880847425,development
2,1,glass2019,figure 2a,0,1,1,24,28,23,33,10,24,"ovary mass, dry",mg,7.717842324,7.966804979,2.116182573,1.12033195,125,125,1,0,Gryllus,firmus,1,1,1,food availability,low,morph,long winged,NA,NA,NA,y,y,terrestrial,NA,NA,23.65964043014206,1.1858235806888282,0.01481765017203684,0.01600043912551324,size
2,1,glass2019,figure 2a,0,1,1,24,28,23,33,10,24,"ovary mass, dry",mg,17.42738589,14.68879668,5.601659751,5.975103734,125,125,1,0,Gryllus,firmus,1,1,1,food availability,low,morph,short winged,NA,NA,NA,y,y,terrestrial,NA,NA,62.62845995030273,14.60555869091589,-0.06004173897779921,0.016007210020838956,size
2,1,glass2019,figure 2a,0,1,1,24,28,23,33,10,24,"ovary mass, dry",mg,28.63070539,28.63070539,3.98340249,4.356846473,125,125,1,0,Gryllus,firmus,1,1,1,food availability,high,morph,long winged,NA,NA,NA,y,y,terrestrial,NA,NA,44.53579374690963,9.094071925444787,0,0.016,size
2,1,glass2019,figure 2a,0,1,1,24,28,23,33,10,24,"ovary mass, dry",mg,35.60165975,41.82572614,6.22406639,8.091286307,125,125,1,0,Gryllus,firmus,1,1,1,food availability,high,morph,short winged,NA,NA,NA,y,y,terrestrial,NA,NA,69.5871777225586,23.015814741312624,0.1197292096597577,0.016028670167291502,size
2,1,glass2019,figure 2b,0,1,1,24,28,23,33,10,24,"testes mass, dry",mg,8.165975104,8.713692946,0.721991701,0.572614108,121,121,1,0,Gryllus,firmus,1,1,1,food availability,low,morph,long winged,NA,NA,NA,y,y,terrestrial,NA,NA,7.941908711,0.4333043668369297,0.09708242580551285,0.016548398754959264,size
2,1,glass2019,figure 2b,0,1,1,24,28,23,33,10,24,"testes mass, dry",mg,7.369294606,9.609958506,0.622406639,0.746887967,121,121,1,0,Gryllus,firmus,1,1,1,food availability,low,morph,short winged,NA,NA,NA,y,y,terrestrial,NA,NA,6.846473029,0.6454805999093813,0.4593484523135773,0.016964878100501818,size
2,1,glass2019,figure 2b,0,1,1,24,28,23,33,10,24,"testes mass, dry",mg,9.958506224,8.912863071,0.423236515,0.721991701,121,121,1,0,Gryllus,firmus,1,1,1,food availability,high,morph,long winged,NA,NA,NA,y,y,terrestrial,NA,NA,4.655601665,0.6134770327741954,-0.31392332594228456,0.016732536889608813,size
2,1,glass2019,figure 2b,0,1,1,24,28,23,33,10,24,"testes mass, dry",mg,8.315352697,8.165975104,0.746887967,0.67219917,121,121,1,0,Gryllus,firmus,1,1,1,food availability,high,morph,short winged,NA,NA,NA,y,n,terrestrial,NA,NA,8.215767637,0.5511209975457455,-0.025575045675314354,0.016530277030911766,size
1,1,kern_2015phys,table 1,0,1,1,NA,24,20,30,10,24,development to stages 35-37,days,90.79,115.55,0.72,0.86,192,192,0,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,9.976612651596731,0.7975311906126304,3.491765887290181,0.02629222527557732,development
2,1,kern_2015phys,table 1,0,1,1,NA,24,20,30,10,24,body mass,g,338.24,320.95,7.41,5.4,192,192,0,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,102.67597187268304,12.548466041712032,-0.23592154738765184,0.010489139292346072,size
3,1,kern_2015phys,table 1,0,1,1,NA,24,20,30,10,24,body length,mm,12.44,12.46,0.1,0.1,192,192,0,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,1.3856406460551018,0.0316227766016838,0.02036700395094588,0.010417206790169189,size
4,1,kern_2015phys,table 1,0,1,1,NA,24,20,30,10,24,tail length,mm,26.2,25.12,0.3,0.25,192,192,0,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,4.156921938165305,0.125,-0.3665358511091313,0.010591599648630592,size
1,1,kern_2015phys,table 1,0,1,1,NA,24,20,30,10,24,development to stages 35-37,days,156.43,200.93,1.1,0.65,163,163,0,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,NA,NA,y,n,aquatic,NA,NA,14.043859868284075,0.5240467536394058,4.467648420187137,0.04288325522454083,development
