response_id,unique_species,study_id,origin,org_level,flux_pattern,secondary_temp,mean_temp_constant,flux_range,period_flux,resp_def,resp_units,constant_resp,flux_resp,constant_variance,flux_variance,constant_samp,flux_samp,resp_quality,variance_type,genus,species,larger_group,exp_age,size,add_covariate,add_covariate_value,extra_covariate,extra_value,environment,duration,duration_units,experiment_type,stressful,shared_control,trait_directional
1,1,bartheld_2017,figure 2,0,1,5.01976285,20,3,24,maximal swimming speed,BL * s^-1,1.12878607,0.91558112,0.08940853,0.06877579,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic,14,days,acclimation,y,1,positive
1,1,bartheld_2017,figure 2,0,1,11.9762846,20,3,24,maximal swimming speed,BL * s^-1,3.29641958,2.63617199,0.17537487,0.12379303,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic,14,days,acclimation,y,2,positive
1,1,bartheld_2017,figure 2,0,1,20,20,3,24,maximal swimming speed,BL * s^-1,4.21251719,3.40784044,0.18225585,0.13411279,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic,14,days,acclimation,y,3,positive
1,1,bartheld_2017,figure 2,0,1,25.0197629,20,3,24,maximal swimming speed,BL * s^-1,3.50498964,3.21612453,0.2303989,0.14099037,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic,14,days,acclimation,y,4,positive
1,1,bartheld_2017,figure 2,0,1,30,20,3,24,maximal swimming speed,BL * s^-1,2.80433288,2.54297807,0.16162311,0.15130674,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic,14,days,acclimation,y,5,positive
1,1,bartheld_2017,figure 2,0,1,34.9802372,20,3,24,maximal swimming speed,BL * s^-1,1.60849041,1.70477652,0.17881706,0.11348006,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic,14,days,acclimation,y,6,positive
1,1,kern_2015phys,figure 5a,0,1,39.7214029,24,10,24,CT max,C,39.7214029,40.5149959,0.07511737,0.16901409,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,1,positive
1,2,kern_2015phys,figure 5b,0,1,40.4882629,24,10,24,CT max,C,40.4882629,41.5772271,0.11267606,0.09389671,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,2,positive
1,3,kern_2015phys,figure 5c,0,1,41.7358491,24,10,24,CT max,C,41.7358491,42.9056604,0.1509434,0.13207547,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,3,positive
2,1,kern_2015phys,Figure 2a,0,1,13,24,10,24,Umax,m * sec^-1,0.59344262,0.53770492,0.04754098,0.02295082,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,4,positive
2,1,kern_2015phys,Figure 2a,0,1,18,24,10,24,Umax,m * sec^-1,0.58688525,0.55081967,0.0295082,0.03606557,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,5,positive
