response_id,unique_species,study_id,origin,org_level,flux_pattern,secondary_temp,mean_temp_constant,flux_range,period_flux,resp_def,resp_units,constant_resp,flux_resp,constant_variance,flux_variance,constant_samp,flux_samp,resp_quality,variance_type,genus,species,larger_group,exp_age,size,add_covariate ,add_covariate_value,extra_covariate ,extra_value,environment,duration,duration_units,experiment_type,stressful,trait_directionality,shared_control,trait_directional
1,1,bartheld_2017,figure 2,0,1,5.019762846,20,3,24,maximal swimming speed,BL * s^-1,1.128786067,0.915581115,0.089408528,0.068775791,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic ,14,days,acclimation,y,positive,1,positive
1,1,bartheld_2017,figure 2,0,1,11.97628458,20,3,24,maximal swimming speed,BL * s^-1,3.296419581,2.636171988,0.175374869,0.123793026,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic ,14,days,acclimation,y,positive,2,positive
1,1,bartheld_2017,figure 2,0,1,20,20,3,24,maximal swimming speed,BL * s^-1,4.212517194,3.40784044,0.182255846,0.134112792,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic ,14,days,acclimation,y,positive,3,positive
1,1,bartheld_2017,figure 2,0,1,25.01976285,20,3,24,maximal swimming speed,BL * s^-1,3.504989643,3.216124525,0.2303989,0.140990371,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic ,14,days,acclimation,y,positive,4,positive
1,1,bartheld_2017,figure 2,0,1,30,20,3,24,maximal swimming speed,BL * s^-1,2.804332875,2.542978073,0.161623109,0.15130674,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic ,14,days,acclimation,y,positive,5,positive
1,1,bartheld_2017,figure 2,0,1,34.98023715,20,3,24,maximal swimming speed,BL * s^-1,1.608490412,1.704776519,0.178817056,0.113480055,18,25,1,0,Calyptocephalella,gayi,1,1,1,,,,,aquatic ,14,days,acclimation,y,positive,6,positive
1,1,kern_2015phys,figure 5a,0,1,39.72140293,24,10,24,CT max,C,39.72140293,40.51499586,0.075117371,0.169014085,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic ,103.17,days,acclimation,y,positive,1,positive
1,2,kern_2015phys,figure 5b,0,1,40.48826291,24,10,24,CT max,C,40.48826291,41.57722708,0.112676056,0.093896714,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic ,178.68,days,acclimation,y,positive,2,positive
1,3,kern_2015phys,figure 5c,0,1,41.73584906,24,10,24,CT max,C,41.73584906,42.90566038,0.150943396,0.132075472,7,7,1,0,Platyplectrum ,ornatum,1,1,2,,,,,aquatic ,27.675,days,acclimation,y,positive,3,positive
2,1,kern_2015phys,Figure 2a,0,1,13,24,10,24,Umax,m * sec^-1,0.593442623,0.537704918,0.047540984,0.02295082,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic ,103.17,days,acclimation,y,positive,4,positive
