response_id,unique_species,study_id,origin,org_level,flux_pattern,secondary_temp,mean_temp_reared,flux_range,period_flux,resp_def,resp_units,constant_resp,flux_resp,constant_variance,flux_variance,constant_samp,flux_samp,resp_quality,variance_type,genus,species,larger_group,exp_age,size,add_covariate,add_covariate_value,extra_covariate,extra_value,add_info,environment,stressful,duration,duration_units,SD_constant,SD_variable,yi,vi,tpc_zone,metric_type
1,1,bartheld_2017,figure 2,0,1,5.019762846,20,3,24,maximal swimming speed,BL * s^-1,1.128786067,0.915581115,0.089408528,0.068775791,18,25,1,0,Calyptocephalella,gayi,1,1,1,NA,NA,NA,NA,NA,aquatic,NA,14,days,0.379328259,0.018036547,-0.855424285,0.104064285,high,rate
1,1,bartheld_2017,figure 2,0,1,11.97628458,20,3,24,maximal swimming speed,BL * s^-1,3.296419581,2.636171988,0.175374869,0.123793026,18,25,1,0,Calyptocephalella,gayi,1,1,1,NA,NA,NA,NA,NA,aquatic,NA,14,days,0.744052555,0.043555627,-1.349418686,0.116729169,high,rate
1,1,bartheld_2017,figure 2,0,1,20,20,3,24,maximal swimming speed,BL * s^-1,4.212517194,3.40784044,0.182255846,0.134112792,18,25,1,0,Calyptocephalella,gayi,1,1,1,NA,NA,NA,NA,NA,aquatic,NA,14,days,0.773246068,0.049114,-1.581837776,0.124651029,high,rate
1,1,bartheld_2017,figure 2,0,1,25.01976285,20,3,24,maximal swimming speed,BL * s^-1,3.504989643,3.216124525,0.2303989,0.140990371,18,25,1,0,Calyptocephalella,gayi,1,1,1,NA,NA,NA,NA,NA,aquatic,NA,14,days,0.977499747,0.05294003,-0.449544399,0.097905441,high,rate
1,1,bartheld_2017,figure 2,0,1,30,20,3,24,maximal swimming speed,BL * s^-1,2.804332875,2.542978073,0.161623109,0.15130674,18,25,1,0,Calyptocephalella,gayi,1,1,1,NA,NA,NA,NA,NA,aquatic,NA,14,days,0.685708778,0.058855548,-0.57801014,0.09944039,high,rate
1,1,bartheld_2017,figure 2,0,1,34.98023715,20,3,24,maximal swimming speed,BL * s^-1,1.608490412,1.704776519,0.178817056,0.113480055,18,25,1,0,Calyptocephalella,gayi,1,1,1,NA,NA,NA,NA,NA,aquatic,NA,14,days,0.758656517,0.0382278,0.193122527,0.095989234,high,rate
1,1,kern_2015phys,figure 5a,0,1,39.72140293,24,10,24,CT max,C,39.72140293,40.51499586,0.075117371,0.169014085,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.198741883,0.069483926,4.989196938,1.17471736,high,trait
1,2,kern_2015phys,figure 5b,0,1,40.48826291,24,10,24,CT max,C,40.48826291,41.57722708,0.112676056,0.093896714,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,178.68,days,0.298112823,0.028772367,4.812640146,1.112910899,high,trait
1,3,kern_2015phys,figure 5c,0,1,41.73584906,24,10,24,CT max,C,41.73584906,42.90566038,0.150943396,0.132075472,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.399358688,0.047999118,3.849480469,0.814946424,high,trait
2,1,kern_2015phys,Figure 2a,0,1,13,24,10,24,Umax,m * sec^-1,0.593442623,0.537704918,0.047540984,0.02295082,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.125781621,0.003476941,-0.586313489,0.297991554,high,rate
2,1,kern_2015phys,Figure 2a,0,1,18,24,10,24,Umax,m * sec^-1,0.586885246,0.550819672,0.029508197,0.036065574,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.078071351,0.006849191,-0.609116164,0.298965089,high,rate
2,1,kern_2015phys,Figure 2a,0,1,23,24,10,24,Umax,m * sec^-1,0.649180328,0.609836066,0.03442623,0.047540984,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.091083243,0.010365786,-0.568083789,0.297239971,high,rate
2,1,kern_2015phys,Figure 2a,0,1,28,24,10,24,Umax,m * sec^-1,0.68852459,0.71147541,0.040983607,0.019672131,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.108432432,0.002759161,0.280067236,0.288515631,high,rate
2,1,kern_2015phys,Figure 2a,0,1,33,24,10,24,Umax,m * sec^-1,0.763934426,0.740983607,0.031147541,0.049180328,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.082408647,0.010906543,-0.365442189,0.290483857,high,rate
2,1,kern_2015phys,Figure 2a,0,1,36,24,10,24,Umax,m * sec^-1,0.675409836,0.747540984,0.032786885,0.060655738,7,7,1,0,Limnodynastes,peronii,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,103.17,days,0.086745944,0.014938529,1.084654378,0.327731254,high,rate
2,2,kern_2015phys,Figure 2b,0,1,18.1,24,10,24,Umax,m * sec^-1,0.568163265,0.542040816,0.022857143,0.027755102,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,178.68,days,0.060474316,0.004623962,-0.570086753,0.29732139,high,rate
2,2,kern_2015phys,Figure 2b,0,1,23.1,24,10,24,Umax,m * sec^-1,0.656326531,0.613877551,0.048979592,0.048979592,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,178.68,days,0.12958782,0.010839837,-0.432068715,0.292381549,high,rate
2,2,kern_2015phys,Figure 2b,0,1,28,24,10,24,Umax,m * sec^-1,0.662857143,0.620408163,0.057142857,0.031020408,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,178.68,days,0.151185789,0.005463504,-0.371395593,0.290640525,high,rate
2,2,kern_2015phys,Figure 2b,0,1,33.1,24,10,24,Umax,m * sec^-1,0.69877551,0.646530612,0.045714286,0.040816327,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,178.68,days,0.120948632,0.008246143,-0.570426557,0.297335231,high,rate
2,2,kern_2015phys,Figure 2b,0,1,38.1,24,10,24,Umax,m * sec^-1,0.532244898,0.623673469,0.032653061,0.057142857,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,178.68,days,0.086391879,0.013659755,1.383601205,0.354084011,high,rate
2,3,kern_2015phys,Figure 2c,0,1,13,24,10,24,Umax,m * sec^-1,0.420899544,0.336001585,0.026122449,0.019591837,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.069113504,0.002742286,-1.624637959,0.379980304,high,rate
2,3,kern_2015phys,Figure 2c,0,1,18,24,10,24,Umax,m * sec^-1,0.368107787,0.397495542,0.013061224,0.013061224,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.034556751,0.001492711,1.124585734,0.330881895,high,rate
2,3,kern_2015phys,Figure 2c,0,1,23,24,10,24,Umax,m * sec^-1,0.419805825,0.426336437,0.026122449,0.006530612,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.069113504,5.28E-04,0.125066836,0.286272918,high,rate
2,3,kern_2015phys,Figure 2c,0,1,28.1,24,10,24,Umax,m * sec^-1,0.471503864,0.471511789,0.021228453,0.019591837,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.056165207,0.002742286,1.87E-04,0.285714287,high,rate
2,3,kern_2015phys,Figure 2c,0,1,33,24,10,24,Umax,m * sec^-1,0.523209828,0.493822073,0.022857143,0.027759065,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.060474316,0.004624952,-0.641346796,0.30040449,high,rate
2,3,kern_2015phys,Figure 2c,0,1,38,24,10,24,Umax,m * sec^-1,0.499805825,0.476948682,0.022857143,0.024489796,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.060474316,0.003832461,-0.499280352,0.294617174,high,rate
2,3,kern_2015phys,Figure 2c,0,1,13,24,20,24,Umax,m * sec^-1,0.420899544,0.447021993,0.026122449,0.039183673,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.069113504,0.007756356,0.497160935,0.29454175,high,rate
2,3,kern_2015phys,Figure 2c,0,1,18,24,20,24,Umax,m * sec^-1,0.368107787,0.384434317,0.013061224,0.009795918,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.034556751,9.70E-04,0.62510645,0.299669931,high,rate
2,3,kern_2015phys,Figure 2c,0,1,23,24,20,24,Umax,m * sec^-1,0.419805825,0.426336437,0.026122449,0.032653061,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.069113504,0.00590046,0.124617163,0.286268908,high,rate
2,3,kern_2015phys,Figure 2c,0,1,28.1,24,20,24,Umax,m * sec^-1,0.471503864,0.579258966,0.021228453,0.034289677,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.056165207,0.006349581,2.523344894,0.513116766,high,rate
2,3,kern_2015phys,Figure 2c,0,1,33,24,20,24,Umax,m * sec^-1,0.523209828,0.542801664,0.022857143,0.047346939,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.060474316,0.010302387,0.422722732,0.292096232,high,rate
2,3,kern_2015phys,Figure 2c,0,1,38,24,20,24,Umax,m * sec^-1,0.499805825,0.538989499,0.022857143,0.027755102,7,7,1,0,Platyplectrum,ornatum,1,1,2,NA,NA,NA,NA,NA,aquatic,NA,27.675,days,0.060474316,0.004623962,0.85513014,0.31183027,high,rate
