label,author,title,journal,doi,year,screened_titles,notes,search
Amarasekare_2012_AMERNATU,"Amarasekare, Priyanga and Savage, Van",A Framework for Elucidating the Temperature Dependence of Fitness,AMERICAN NATURALIST,10.1086/663677,2012,selected,background,WOS176
Amarasekare_2013_JOOFANEC,"Amarasekare, Priyanga and Coutinho, Renato M.",The intrinsic growth rate as a predictor of population viability under climate warming,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.12112,2013,selected,background,WOS176
Bowden_2018_PHYS,"Bowden, Rachel M. and Paitz, Ryan T.",Temperature fluctuations and maternal estrogens as critical factors for understanding temperature-dependent sex determination in nature,PHYSIOLOGY,10.1002/jez.2183,2018,selected,background,WOS176
Colinet_2018_JOOFEXBI,"Colinet, Herve and Rinehart, Joseph P. and Yocum, George D. and Greenlee, Kendra J.",Mechanisms underpinning the beneficial effects of fluctuating thermal regimes in insect cold tolerance,JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.164806,2018,selected,background,WOS176
Dee_2016_PROFTHROSOB.SC,"Dee, Laura E. and Miller, Steve J. and Peavey, Lindsey E. and Bradley, Darcy and Gentry, Rebecca R. and Startz, Richard and Gaines, Steven D. and Lester, Sarah E.",Functional diversity of catch mitigates negative effects of temperature variability on fisheries yields,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2016.1435,2016,selected,background,WOS176
Delmas_2008_FUNCECOL,"Delmas, V. and Prevot-Julliard, A. -C. and Pieau, C. and Girondot, M.",A mechanistic model of temperature-dependent sex determination in a chelonian: the European pond turtle,FUNCTIONAL ECOLOGY,10.1111/j.1365-2435.2007.01349.x,2008,selected,background,WOS176
Kos_2007_ANOFBO,"Kos, Martijn and Poschlod, Peter",Seeds use temperature cues to ensure germination under nurse-plant shade in xeric Kalahari savannah,ANNALS OF BOTANY,10.1093/aob/mcl293,2007,selected,background,WOS176
Larson_2016_JOOFEVBI,"Larson, W. A. and Lisi, P. J. and Seeb, J. E. and Seeb, L. W. and Schindler, D. E.",Major histocompatibility complex diversity is positively associated with stream water temperatures in proximate populations of sockeye salmon,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12926,2016,selected,background,WOS176
Liu_2017_ECOANDEVO,"Liu, Yang and Barot, Sebastien and El-Kassaby, Yousry A. and Loeuille, Nicolas",Impact of temperature shifts on the joint evolution of seed dormancy and size,ECOLOGY AND EVOLUTION,10.1002/ece3.2611,2017,selected,background,WOS176
Massey_2019_JOOFEXBI,"Massey, Melanie D. and Holt, Sarah M. and Brooks, Ronald J. and Rollinson, Njal",Measurement and modelling of primary sex ratios for species with temperature-dependent sex determination,JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.190215,2019,selected,background,WOS176
