experiment_type,size,exp_age,trait_directionality,ecosystem,Freq
acute,1,1,positive,terrestrial,430
acclimation,1,1,positive,terrestrial,76
acute,2,1,positive,terrestrial,37
acclimation,2,1,positive,terrestrial,0
acute,3,1,positive,terrestrial,0
acclimation,3,1,positive,terrestrial,0
acute,1,0,positive,terrestrial,171
acclimation,1,0,positive,terrestrial,4
acute,2,0,positive,terrestrial,0
acclimation,2,0,positive,terrestrial,0
acute,3,0,positive,terrestrial,0
acclimation,3,0,positive,terrestrial,0
acute,1,2,positive,terrestrial,238
acclimation,1,2,positive,terrestrial,135
acute,2,2,positive,terrestrial,1
acclimation,2,2,positive,terrestrial,1
acute,3,2,positive,terrestrial,0
acclimation,3,2,positive,terrestrial,7
acute,1,1,negative,terrestrial,0
acclimation,1,1,negative,terrestrial,3
acute,2,1,negative,terrestrial,0
acclimation,2,1,negative,terrestrial,0
acute,3,1,negative,terrestrial,0
acclimation,3,1,negative,terrestrial,0
acute,1,0,negative,terrestrial,32
acclimation,1,0,negative,terrestrial,0
acute,2,0,negative,terrestrial,0
acclimation,2,0,negative,terrestrial,0
acute,3,0,negative,terrestrial,0
acclimation,3,0,negative,terrestrial,0
acute,1,2,negative,terrestrial,12
acclimation,1,2,negative,terrestrial,57
acute,2,2,negative,terrestrial,0
acclimation,2,2,negative,terrestrial,0
acute,3,2,negative,terrestrial,0
acclimation,3,2,negative,terrestrial,2
acute,1,1,positive,aquatic/marine,9
acclimation,1,1,positive,aquatic/marine,8
acute,2,1,positive,aquatic/marine,82
acclimation,2,1,positive,aquatic/marine,97
acute,3,1,positive,aquatic/marine,15
acclimation,3,1,positive,aquatic/marine,0
acute,1,0,positive,aquatic/marine,0
acclimation,1,0,positive,aquatic/marine,0
acute,2,0,positive,aquatic/marine,2
acclimation,2,0,positive,aquatic/marine,12
acute,3,0,positive,aquatic/marine,0
acclimation,3,0,positive,aquatic/marine,0
acute,1,2,positive,aquatic/marine,53
acclimation,1,2,positive,aquatic/marine,3
acute,2,2,positive,aquatic/marine,2
acclimation,2,2,positive,aquatic/marine,8
acute,3,2,positive,aquatic/marine,0
acclimation,3,2,positive,aquatic/marine,0
acute,1,1,negative,aquatic/marine,0
acclimation,1,1,negative,aquatic/marine,5
acute,2,1,negative,aquatic/marine,124
acclimation,2,1,negative,aquatic/marine,74
acute,3,1,negative,aquatic/marine,0
acclimation,3,1,negative,aquatic/marine,0
acute,1,0,negative,aquatic/marine,0
acclimation,1,0,negative,aquatic/marine,0
acute,2,0,negative,aquatic/marine,3
acclimation,2,0,negative,aquatic/marine,0
acute,3,0,negative,aquatic/marine,0
acclimation,3,0,negative,aquatic/marine,0
acute,1,2,negative,aquatic/marine,16
acclimation,1,2,negative,aquatic/marine,0
acute,2,2,negative,aquatic/marine,0
acclimation,2,2,negative,aquatic/marine,0
acute,3,2,negative,aquatic/marine,0
acclimation,3,2,negative,aquatic/marine,0
